,PC1,PC2,PC3
4-MP,0.3135848320376214,-0.3808769327161908,0.020268220609001387
2-OH-4MP,0.49195667057612913,-0.0464866151616539,0.07615981966451606
Leucine,0.26103112108723475,0.13783440898646426,0.10998296493061888
2-OH-3MP,0.4753604338959213,0.00732368784434522,0.027936132169049596
alloisoleucine,0.3878170582599458,-0.19105823105236996,0.08995297330264262
isoleucine,0.2564860407170735,0.2871528397489825,0.012905872668507878
4-OH-PAA,0.22877471732663127,-0.299693943632139,0.008622662199113212
4-OH-PPA,0.1004973325578091,-0.23507145799616985,-0.00888579173193744
tyrosine,0.06896534040637281,0.07048471878386058,0.06469128129276329
cholenoic acid,-0.06631527258162355,0.07952089466431171,0.6887806711438357
cholenoic acid blanked,-0.06673817883842191,0.07925048757734271,0.6886885888028289
Cholic acid,0.1914569351766738,0.525409472543641,-0.09899951338084165
Cholic acid blanked,0.191441840008187,0.5254115747660585,-0.09901587589656702
